,commodity,cty_code,dist_unlade,port_unlade,year,month,gen_val_mo,air_val_mo,air_swt_mo,ves_val_mo,ves_swt_mo,cnt_val_mo,cnt_swt_mo,gen_val_yr,air_val_yr,air_swt_yr,ves_val_yr,ves_swt_yr,cnt_val_yr,cnt_swt_yr,port_full,distance,co2
799378,845020,5800,27,20,2024,12,17800,17800,1568,0,0,0,0,35700,35700,5242,0,0,0,0,2720,9930.55292675344,0.0
799379,845020,5800,28,11,2024,12,408197,0,0,408197,64261,408197,64261,4050565,0,0,4050565,682303,4050565,682303,2811,9177.997858440787,2654042941.7156854
799380,845020,5800,29,04,2024,12,10183,0,0,10183,1729,10183,1729,1280237,0,0,1280237,232251,1280237,232251,2904,8752.08573852728,68095603.0886115
799381,845020,5800,30,01,2024,12,771248,0,0,771248,110576,771248,110576,9633233,0,0,9633233,1391464,9633233,1391464,3001,8657.609914704306,4307957432.677545
799382,845020,5800,30,02,2024,12,472783,0,0,472783,73491,472783,73491,6912191,0,0,6912191,1010186,6912191,1010186,3002,8693.025431067475,2874866093.7956095
799383,845020,5800,30,04,2024,12,0,0,0,0,0,0,0,3342,0,0,0,0,0,0,3004,8542.565707537799,0.0
799384,845020,5800,31,26,2024,12,0,0,0,0,0,0,0,57868,57868,654,0,0,0,0,3126,7005.745307384682,0.0
799385,845020,5800,34,01,2024,12,0,0,0,0,0,0,0,21451,0,0,0,0,0,0,3401,23391.390800188976,0.0
799386,845020,5800,38,01,2024,12,0,0,0,0,0,0,0,100333,0,0,0,0,0,0,3801,23511.269341964384,0.0
799389,845020,5800,41,03,2024,12,0,0,0,0,0,0,0,173364,0,0,0,0,0,0,4103,22229.810266964505,0.0
799390,845020,5800,49,09,2024,12,96434,0,0,96434,12387,96434,12387,294046,0,0,294046,37345,294046,37345,4909,17107.446555933693,953594732.197578
799391,845020,5800,52,01,2024,12,0,0,0,0,0,0,0,41104,0,0,41104,6759,41104,6759,5201,17533.25523113031,0.0
799392,845020,5800,53,01,2024,12,275042,0,0,275042,53421,275042,53421,9562058,0,0,9562058,1533979,9562058,1533979,5301,18022.041655031942,4332399692.640576
